iteration,p1score,p2score,p1score,p2score,p1score,p2score,p1score,p2score,p1score,p2score,p1score,p2score,p1score,p2score,p1score,p2score,p1score,p2score,p1score,p2score
74,110,90,100,100,110,110,120,120,130,130,140,120,150,110,140,100,130,110,140,100
75,110,110,100,100,90,110,80,100,70,90,60,100,50,90,40,100,30,90,20,80
76,110,90,120,80,110,70,120,80,110,90,100,80,110,70,120,80,110,90,120,80
77,90,110,80,100,90,110,80,100,70,90,60,80,70,90,60,80,50,70,60,60
78,90,90,80,80,90,70,80,80,70,70,80,60,70,70,80,60,70,50,60,40
79,110,110,100,100,90,90,100,80,90,70,100,60,110,50,100,40,90,50,100,40
80,90,90,100,100,90,110,80,120,70,130,60,120,50,110,40,120,50,110,60,100
81,110,90,100,80,90,70,80,60,70,50,60,60,50,50,40,40,30,50,40,40
82,110,90,100,80,110,70,100,80,90,70,80,80,70,70,60,80,50,90,40,80
83,110,110,120,100,110,90,120,100,130,90,120,80,110,90,100,80,90,70,100,80
84,90,90,80,100,90,90,80,80,70,70,80,60,70,50,60,60,50,70,60,60
85,90,90,100,80,110,90,100,80,110,70,100,80,110,90,100,80,90,70,100,60
86,90,90,80,80,70,90,60,80,50,70,40,80,50,90,60,80,50,70,60,60
87,90,90,80,80,70,70,60,60,50,50,60,40,50,50,40,40,30,50,20,40
88,90,90,100,80,90,70,80,60,70,70,60,60,50,50,40,40,50,30,60,40
89,90,90,80,80,70,90,60,100,50,110,60,120,50,110,40,100,50,90,40,80
90,110,90,100,80,90,90,80,100,70,110,60,100,50,90,60,100,70,110,60,100
91,90,110,80,100,70,90,60,100,50,90,60,100,50,90,40,80,30,70,20,60
92,90,90,80,100,70,90,80,80,90,90,80,100,70,90,60,80,50,70,60,60
93,110,90,100,100,90,110,80,100,90,90,80,80,90,70,100,60,110,50,100,40
94,90,110,80,100,90,90,100,80,110,90,100,80,110,70,120,80,110,90,120,100
95,90,90,100,80,110,70,120,60,110,70,100,60,90,70,100,80,90,90,80,80
96,90,90,100,100,90,90,80,80,70,90,80,100,90,90,80,100,70,90,60,100
97,90,110,80,100,70,90,60,80,50,70,40,80,50,70,40,60,30,50,40,40
98,90,90,80,80,70,70,80,60,70,50,60,40,50,30,40,40,30,30,20,20
99,90,90,80,100,90,110,80,100,70,90,60,100,50,110,40,120,30,110,20,100
100,90,110,80,100,70,110,80,100,70,90,60,100,50,110,40,100,50,90,60,100
101,110,90,120,80,130,90,120,80,130,70,120,60,110,70,100,80,110,90,120,80
102,110,110,120,100,110,90,100,100,110,90,100,80,90,70,80,60,90,50,80,40
103,110,110,100,100,90,90,80,80,70,70,60,60,70,50,60,40,50,30,60,20
104,90,110,100,120,90,130,80,120,70,110,60,100,50,110,60,100,50,110,60,100
105,90,110,80,120,70,130,60,120,70,110,80,120,70,110,60,120,70,130,60,140
106,110,110,100,100,90,90,80,100,70,90,80,100,70,110,60,120,70,130,80,120
107,90,90,100,80,110,70,100,60,110,70,100,80,90,90,80,100,70,110,60,100
108,110,110,120,100,130,90,140,80,130,70,120,80,110,70,120,80,130,90,120,80
109,90,110,80,100,70,110,60,100,50,90,40,80,30,90,20,80,10,90,0,80
110,90,110,100,120,110,110,100,120,90,130,80,140,70,130,60,140,50,150,40,140
111,110,90,100,80,110,90,100,80,90,70,100,60,110,50,100,40,110,50,100,40
112,90,90,80,80,70,90,60,80,50,90,60,100,50,90,40,80,30,90,40,80
113,110,90,120,80,110,70,100,60,90,70,100,60,110,50,100,60,110,70,100,60
114,90,90,100,100,110,110,120,120,110,130,120,120,130,110,120,100,110,110,100,120
115,110,110,100,100,110,90,100,80,90,70,80,80,90,70,80,60,70,50,80,40
116,90,90,100,80,110,70,100,60,110,50,100,40,90,30,80,20,70,30,60,20
117,110,90,120,80,130,70,140,60,130,50,120,40,110,50,120,40,110,50,120,60
118,110,110,100,100,90,90,100,80,90,70,80,60,90,50,80,40,90,30,100,20
119,110,110,100,100,90,90,100,80,90,90,100,80,90,70,80,60,90,50,100,60
120,90,90,80,100,70,90,60,100,50,90,40,80,30,70,20,80,10,90,0,80
121,110,90,120,80,110,90,120,100,110,110,100,120,90,110,80,100,90,90,100,80
122,90,110,80,100,90,110,80,120,70,110,60,100,70,110,60,100,50,90,60,100
123,90,110,80,100,70,90,60,80,50,90,40,100,50,90,40,80,50,90,60,80
124,110,110,100,100,110,90,100,80,90,70,80,80,70,70,80,60,70,50,60,60
125,110,110,100,100,90,90,80,80,70,70,60,60,50,50,40,40,30,30,40,20
126,90,90,80,100,90,90,100,100,90,90,80,100,70,110,60,120,50,110,40,100
127,110,90,120,100,110,90,100,100,90,110,80,100,70,90,60,80,70,70,60,80
128,110,110,100,100,110,90,120,80,110,70,100,60,90,50,100,60,110,50,100,40
129,90,90,80,80,70,70,60,60,50,50,60,40,50,30,40,40,30,30,20,20
130,90,90,100,80,90,90,80,100,70,110,60,120,50,130,40,120,30,130,20,120
131,90,90,80,100,90,90,100,80,90,70,80,80,70,90,60,100,50,90,40,100
132,90,110,80,100,70,110,60,100,50,90,40,80,50,70,60,60,50,50,40,40
133,110,110,120,120,110,110,100,120,90,110,80,120,70,110,60,100,50,90,40,100
134,90,110,80,120,70,110,80,120,70,130,80,120,90,110,100,120,90,110,80,100
135,90,90,80,80,70,70,60,60,50,70,60,60,70,50,60,40,70,30,80,40
136,110,90,100,100,90,110,80,100,90,90,80,80,70,70,60,60,50,70,60,60
137,90,110,80,120,70,130,60,120,70,130,80,140,70,130,60,120,70,130,60,140
138,90,90,80,100,70,90,60,100,50,90,60,100,50,90,40,80,50,70,40,80
139,90,90,80,100,70,110,80,100,70,110,60,100,70,110,60,100,50,90,40,80
140,90,90,100,80,90,90,100,80,90,90,80,80,70,70,80,80,70,90,60,100
141,90,90,80,80,70,90,60,80,50,70,40,80,30,90,20,80,30,70,20,60
142,90,110,80,120,70,130,80,120,90,110,80,100,70,90,60,80,50,70,40,60
143,90,90,100,80,90,90,100,80,110,70,100,60,90,70,80,60,70,50,60,60
144,90,110,100,100,110,110,100,100,110,90,100,100,90,90,100,100,90,90,100,80
145,90,110,100,100,90,90,80,80,70,70,80,60,70,50,60,40,50,30,40,20
146,90,90,80,80,70,90,60,80,70,70,60,80,70,70,60,80,50,70,40,80
147,90,90,80,100,70,90,80,80,90,70,100,60,90,50,80,60,70,70,60,60
148,110,110,100,120,110,130,100,120,90,110,100,100,90,90,100,80,90,70,80,80
149,90,90,80,80,70,90,60,80,50,90,40,80,30,70,40,60,30,50,20,60
150,90,90,100,100,90,90,80,100,90,90,80,80,70,90,60,100,50,90,60,80
151,90,90,80,80,70,70,60,80,70,90,60,80,50,90,40,100,30,90,40,100
152,90,110,80,120,90,110,80,100,70,90,80,80,70,90,80,80,70,70,80,60
153,90,110,100,100,110,90,120,80,110,90,120,100,110,110,100,100,110,90,100,80
154,90,90,80,80,90,70,100,60,110,50,100,60,110,70,100,60,90,50,80,40
155,90,90,100,80,90,90,100,100,90,90,80,80,90,70,80,60,70,50,60,40
156,90,90,80,80,90,90,100,100,90,90,80,80,90,70,100,60,90,70,80,60
