iteration,p1score,p2score,p1score,p2score,p1score,p2score,p1score,p2score,p1score,p2score,p1score,p2score,p1score,p2score,p1score,p2score,p1score,p2score,p1score,p2score
696,90,90,100,80,90,70,80,60,70,70,60,60,50,50,40,40,30,50,20,40
697,90,90,100,80,110,70,100,80,110,70,120,60,110,50,100,40,110,50,100,40
698,110,90,120,80,110,70,100,60,90,50,100,40,90,50,80,40,90,30,80,20
699,110,90,100,80,110,70,100,60,90,50,100,40,90,30,80,40,90,30,80,20
700,90,110,100,100,110,110,120,100,110,90,100,80,110,70,120,80,130,70,120,80
701,110,110,120,100,130,90,120,80,110,90,100,100,110,110,120,120,130,130,120,140
702,90,90,100,80,90,70,80,80,70,70,60,80,50,70,40,80,30,70,20,80
703,110,90,120,80,130,90,120,80,110,70,120,60,110,50,120,40,110,50,100,40
704,90,110,80,100,70,90,60,100,70,110,60,100,70,90,80,80,70,90,60,100
705,90,90,100,100,90,90,80,80,70,70,60,80,70,70,80,60,90,70,80,60
706,110,110,120,100,130,90,120,80,110,70,100,60,90,50,80,60,70,50,80,40
707,90,110,80,120,70,110,60,100,50,110,40,100,50,90,60,80,70,70,60,60
708,90,90,80,80,70,90,60,80,70,90,60,80,50,70,40,60,50,70,40,80
709,90,90,80,80,70,90,60,100,50,90,40,80,30,70,20,60,10,70,20,60
710,110,90,120,80,130,70,120,60,110,50,100,40,90,50,100,40,110,30,100,20
711,90,110,80,100,70,90,60,80,50,70,60,80,70,70,60,60,50,50,60,40
712,110,90,100,80,90,70,80,60,90,50,80,40,70,30,60,20,50,30,40,20
713,90,110,80,100,70,110,80,120,70,110,60,100,70,90,60,100,50,110,40,120
714,110,90,120,100,110,90,100,80,110,70,100,60,110,50,100,40,90,30,100,20
715,110,110,100,100,90,90,80,80,70,70,80,60,70,50,80,60,70,70,60,80
716,110,90,100,100,110,110,100,100,90,110,100,100,110,110,100,100,90,90,80,80
717,90,90,80,80,70,70,60,60,50,70,40,80,30,90,40,80,50,70,40,60
718,110,90,100,80,110,90,100,100,110,90,100,100,110,110,100,120,110,110,120,100
719,90,110,80,100,70,90,60,80,50,90,40,80,50,70,40,60,30,50,20,60
720,90,90,80,80,70,70,80,80,70,70,60,60,70,70,60,80,50,90,60,100
721,90,90,100,80,110,70,120,80,110,90,100,80,110,70,100,60,90,70,80,80
722,90,90,80,80,70,70,80,60,70,50,60,40,50,30,60,40,50,30,60,40
723,90,90,100,80,90,70,100,60,90,50,80,40,90,30,80,40,90,30,80,40
724,110,110,120,100,110,110,100,100,110,90,120,80,110,70,100,80,90,70,80,60
725,110,110,100,120,90,110,100,120,90,130,100,140,90,130,80,120,70,130,60,120
726,110,90,120,80,110,70,100,80,90,70,80,60,70,50,60,40,50,50,40,60
727,110,90,120,80,130,90,140,80,130,70,120,60,130,50,140,40,150,30,140,20
728,90,90,100,80,90,90,100,100,90,110,80,100,90,110,80,100,70,110,60,100
729,110,90,100,80,90,70,80,80,70,90,80,80,70,70,60,80,50,70,40,60
730,110,110,100,100,90,110,80,100,90,110,80,100,70,110,60,100,50,90,40,80
731,110,90,120,80,110,90,100,80,90,90,80,80,70,70,60,60,50,70,40,80
732,90,110,80,100,90,110,100,120,110,110,120,120,130,110,140,100,130,90,120,100
733,90,90,80,80,70,70,60,80,50,70,40,80,30,70,20,80,30,70,40,80
734,110,90,120,80,110,70,100,60,110,50,100,40,90,30,80,20,70,10,60,0
735,90,90,80,80,70,90,60,80,50,70,60,60,50,50,40,60,30,50,40,60
736,90,90,100,80,110,70,120,80,110,70,100,80,90,90,80,100,90,110,80,100
737,90,90,80,100,70,90,60,80,50,70,40,80,30,70,20,80,10,70,20,60
738,110,90,100,80,90,70,100,60,110,50,120,40,110,30,100,20,110,10,100,0
739,110,110,120,100,110,90,100,80,90,90,100,80,110,90,100,80,110,70,100,80
740,90,110,80,120,70,110,80,100,90,90,80,80,90,70,100,60,90,50,80,40
741,110,90,100,80,110,70,100,60,90,50,80,40,90,30,80,40,90,30,80,20
742,90,110,80,100,70,90,60,100,50,90,40,80,30,90,40,100,30,90,20,80
743,110,90,100,80,110,90,100,80,110,90,100,80,110,70,100,80,90,90,80,80
744,90,90,80,100,90,90,80,100,70,90,60,100,70,90,80,80,70,90,60,80
745,90,90,100,100,90,90,100,80,110,90,100,100,90,90,80,80,70,90,60,100
746,90,90,80,80,70,70,60,80,50,90,60,80,50,90,60,100,50,90,40,80
747,90,90,80,80,90,90,80,100,70,90,80,100,90,90,80,80,70,70,80,60
748,110,110,100,100,90,90,100,80,110,90,100,100,90,90,100,80,90,70,80,80
749,110,90,100,80,90,90,80,100,70,90,60,100,70,110,60,100,50,90,40,80
750,90,110,100,100,90,110,80,120,70,110,60,120,50,110,40,120,50,110,40,120
751,110,110,100,100,110,90,120,80,110,70,100,80,90,70,80,60,70,50,80,40
752,90,110,80,100,70,90,80,100,90,90,80,100,70,90,60,100,50,90,40,80
753,90,110,80,120,70,110,60,100,50,90,40,100,30,110,40,100,30,90,20,80
754,90,90,80,80,70,70,80,80,70,70,80,60,70,50,80,40,70,30,80,20
755,90,110,80,100,70,90,80,100,90,90,100,80,90,70,80,60,90,70,80,60
756,90,90,80,100,70,90,80,80,90,90,80,80,90,90,80,100,70,90,80,80
757,110,90,100,80,90,90,80,80,70,90,80,100,70,90,60,80,50,70,60,80
758,90,110,80,100,90,110,100,120,90,110,80,100,70,90,80,80,70,70,60,80
759,110,90,100,100,110,110,100,100,90,90,80,80,70,90,60,80,70,90,60,100
760,90,90,80,80,70,70,60,80,50,90,60,80,50,70,60,60,70,50,80,60
761,90,90,80,80,70,90,60,80,70,70,60,60,50,50,40,40,30,30,20,40
762,110,90,100,80,90,90,80,100,70,90,80,80,70,70,80,60,90,50,80,40
763,90,110,80,120,70,110,80,100,70,90,80,100,70,90,80,80,90,90,100,80
764,90,90,80,80,70,70,60,60,50,50,60,40,70,30,60,20,70,10,60,20
765,110,110,120,100,110,110,100,120,90,110,80,100,70,90,60,100,70,90,60,80
766,90,90,80,80,90,70,100,60,90,70,80,60,70,70,60,60,70,70,80,80
767,110,110,120,120,130,110,120,100,130,110,120,100,110,90,120,100,130,110,120,100
768,110,90,100,100,110,90,100,80,110,70,100,60,90,50,100,40,110,30,100,20
769,110,90,100,100,110,90,100,100,90,90,80,80,70,70,60,60,50,70,40,60
770,90,110,80,120,90,110,80,100,90,110,80,100,70,90,60,80,50,70,40,80
771,90,110,100,100,110,90,100,100,90,90,100,100,90,90,100,80,110,70,120,60
772,90,90,80,80,90,70,80,60,70,50,60,40,50,30,40,20,30,10,20,0
773,90,90,80,80,70,70,80,80,90,90,100,80,90,70,100,80,110,70,120,60
774,90,90,80,100,70,90,60,100,70,90,60,80,50,90,60,80,50,90,40,80
775,90,90,80,80,90,70,100,60,90,70,80,80,70,70,60,60,50,70,40,80
776,90,110,80,100,70,110,60,100,70,90,60,80,50,70,40,80,30,90,40,100
777,90,90,100,100,90,110,80,100,90,90,100,80,110,90,100,80,90,70,80,60
778,90,110,80,100,70,110,60,100,70,110,80,100,70,90,80,80,70,70,60,60
779,110,110,100,120,90,110,80,100,70,110,60,100,70,110,60,100,70,110,60,120
780,110,90,100,80,90,90,80,100,90,110,100,100,90,90,100,80,110,70,100,60
781,90,90,80,100,90,110,100,120,90,110,100,100,90,90,100,80,90,90,80,80
782,110,110,100,100,90,110,100,100,90,90,100,80,90,90,100,80,90,90,80,80
783,90,110,80,100,70,90,60,80,50,90,40,100,30,110,40,100,50,90,40,80
784,90,90,100,100,90,110,100,120,90,110,80,100,70,90,60,80,50,70,40,60
785,110,90,120,80,130,70,140,60,130,50,140,60,150,50,140,60,130,50,120,40
786,110,90,100,80,90,70,100,60,110,70,100,60,110,70,100,60,90,50,80,40
787,110,110,100,100,90,90,80,80,90,70,100,80,110,70,100,60,90,50,80,60
788,110,90,120,80,110,70,100,60,90,50,80,40,70,30,60,20,70,10,60,20
789,90,90,80,80,70,90,60,80,70,70,80,60,90,50,80,40,70,30,60,20
790,110,110,120,100,110,90,120,80,110,90,100,80,90,90,80,80,70,70,60,60
791,110,90,120,80,130,70,140,60,150,70,140,60,130,50,120,40,110,30,100,20
792,90,110,80,120,70,110,60,100,50,110,40,100,30,90,20,80,10,70,20,80
793,90,90,100,80,90,90,80,80,90,70,80,60,70,70,60,80,50,70,40,60
794,90,90,100,80,110,70,100,60,90,70,80,60,70,50,60,60,50,70,60,80
795,110,90,100,80,90,70,80,60,70,70,60,80,50,70,40,60,50,70,40,60
796,90,90,80,80,70,70,60,60,70,50,60,40,50,30,40,20,30,10,20,0
797,90,90,80,100,90,90,80,100,70,90,60,100,50,90,60,100,70,90,60,80
798,90,110,80,100,70,110,80,120,70,110,60,100,70,90,60,100,70,90,80,80
799,110,90,100,80,90,70,80,60,90,70,80,60,90,50,80,60,70,50,60,40
800,90,90,80,100,70,110,60,100,50,90,40,80,30,70,20,60,10,70,0,60
801,90,110,80,120,90,110,80,100,70,110,60,120,50,130,40,120,50,130,40,120
802,90,90,80,80,70,70,80,80,70,70,60,80,50,70,40,60,50,50,40,40
803,90,90,80,80,70,70,80,60,90,50,80,40,70,30,80,20,70,10,80,0
804,110,90,100,80,110,70,100,60,110,50,100,60,110,50,100,40,110,30,100,20
805,90,90,80,100,90,110,80,120,70,110,60,100,50,110,60,120,50,110,40,120
806,110,90,120,80,110,70,100,60,90,70,80,80,70,70,80,60,90,70,100,60
807,90,110,100,100,110,90,100,80,110,90,100,100,90,90,80,100,90,90,80,80
808,110,90,100,100,90,90,80,100,90,90,80,100,70,110,80,120,70,110,60,120
809,90,90,80,100,90,90,100,80,110,70,100,60,90,50,80,40,70,30,80,20
810,90,90,80,80,90,90,100,100,110,90,120,80,110,90,120,80,110,70,100,60
811,110,110,120,100,110,90,120,80,110,70,100,60,90,50,80,60,70,70,80,60
812,90,90,80,80,90,70,80,60,70,50,80,40,90,30,100,20,90,30,80,20
813,110,90,100,100,90,90,80,100,70,90,60,80,50,70,60,80,70,90,80,80
814,90,110,80,120,70,110,80,100,70,90,60,80,50,70,60,60,50,50,40,60
815,90,110,100,100,110,110,120,100,110,90,120,100,110,90,100,100,90,90,80,80
816,110,110,100,100,110,90,100,80,110,70,100,80,90,70,80,80,90,70,80,60
817,110,90,100,100,110,90,100,80,110,90,100,80,90,70,80,60,70,50,60,60
818,90,90,80,100,90,90,80,80,70,70,80,80,90,90,80,100,90,90,80,80
819,90,90,80,100,70,90,60,80,50,70,60,60,50,50,40,40,30,30,20,40
820,90,90,80,100,90,90,80,80,70,70,60,60,50,50,40,40,30,30,40,20
821,90,90,100,80,110,70,120,60,110,50,100,40,90,50,100,60,90,70,80,60
822,90,90,80,80,70,70,60,60,50,50,40,40,50,50,60,60,50,50,40,60
823,110,90,120,80,130,70,140,60,150,70,160,60,150,50,160,40,170,30,160,20
824,90,90,80,100,90,90,80,80,90,70,100,60,110,50,120,40,130,30,120,20
825,90,90,80,100,90,90,80,100,90,90,80,80,70,90,60,100,50,90,60,100
826,90,90,80,80,70,90,60,100,50,90,40,100,50,110,60,100,50,110,60,100
827,110,90,120,80,110,90,100,80,110,70,120,60,130,50,120,40,110,30,100,20
828,90,90,80,80,70,70,60,60,70,50,60,40,70,30,80,20,70,30,60,20
829,90,90,100,100,110,90,100,100,90,90,80,100,70,110,60,100,70,90,80,80
830,110,110,100,100,90,90,80,100,90,90,100,80,110,70,120,80,110,70,120,60
831,90,90,100,80,90,90,80,100,90,90,80,100,90,90,80,80,70,90,60,100
832,90,90,100,80,90,90,80,80,70,70,60,60,50,70,60,80,50,70,40,60
833,90,90,80,80,70,70,80,60,90,50,80,60,70,50,60,60,70,50,60,40
834,110,90,100,100,90,90,100,80,90,90,100,100,110,90,100,80,110,90,120,80
835,110,110,100,100,110,90,100,80,90,90,80,80,70,70,60,60,50,50,40,40
836,110,90,100,100,90,90,80,100,70,110,60,100,50,90,60,100,70,90,60,80
837,90,110,80,120,70,110,60,100,50,110,40,100,30,110,20,100,10,110,20,100
838,90,90,80,80,70,70,60,80,70,70,60,60,50,50,60,40,50,30,60,20
839,90,110,80,100,70,110,60,100,50,90,60,80,50,90,40,80,30,70,20,80
840,110,110,100,120,90,110,80,120,70,110,80,100,70,90,60,80,70,70,60,60
841,90,90,80,80,90,70,80,80,90,90,80,80,90,90,80,80,70,90,80,100
842,90,90,100,100,110,90,100,80,110,90,120,100,110,90,100,100,90,110,100,120
843,90,90,80,100,70,90,80,80,90,90,80,100,90,110,100,100,110,90,100,80
844,90,90,80,80,90,70,100,60,110,50,100,60,90,50,80,40,70,30,80,20
845,90,90,100,80,110,70,100,60,90,50,80,40,90,30,80,20,70,10,60,0
846,110,110,100,100,90,90,80,80,70,70,80,80,70,70,60,60,50,70,40,80
847,90,110,80,100,70,90,60,80,70,70,60,60,50,50,60,40,70,50,80,60
848,110,90,100,100,90,90,80,80,70,70,60,60,50,70,40,60,50,50,40,40
849,110,90,100,80,90,70,100,60,110,50,100,40,90,30,80,20,70,10,80,0
850,90,90,100,100,110,110,100,100,90,90,80,80,70,90,60,80,50,90,60,80
851,110,110,100,120,90,110,80,100,90,90,80,80,70,70,60,60,50,50,60,60
852,90,90,100,80,90,90,80,100,70,110,80,100,70,90,60,80,70,70,80,60
853,90,90,80,100,70,90,60,80,50,90,60,80,50,90,40,80,30,70,40,80
854,90,90,80,80,90,90,80,80,70,70,60,60,50,50,60,40,50,30,40,40
855,110,110,120,120,110,110,100,100,90,90,80,80,70,70,80,60,90,70,80,60
856,90,110,80,120,90,110,100,100,90,110,100,100,90,110,80,120,90,110,80,100
857,90,90,80,80,90,70,80,60,70,50,80,40,90,50,80,40,70,30,80,40
858,90,110,100,100,110,90,100,80,110,90,120,100,110,110,100,100,90,110,80,120
859,110,90,100,80,110,90,100,80,110,90,120,80,130,70,120,80,130,70,120,80
860,90,90,80,100,70,90,60,100,70,90,60,100,50,110,40,100,30,90,20,80
861,90,90,100,80,90,70,100,60,110,50,100,60,90,50,80,60,70,70,80,60
862,110,90,100,80,90,70,80,60,70,50,80,60,90,50,100,40,90,30,80,20
863,90,90,80,80,90,90,100,80,90,70,80,60,70,70,60,60,50,50,60,40
864,90,90,80,80,90,70,80,60,70,50,60,60,50,50,40,60,50,50,40,40
865,90,90,100,80,110,70,120,60,110,70,120,60,110,70,120,80,130,70,120,60
866,90,110,80,120,70,110,80,100,70,110,60,100,50,110,40,100,50,90,60,100
867,90,90,80,80,70,70,60,80,70,70,60,60,50,50,40,40,30,30,20,20
868,90,90,80,80,70,70,60,60,50,50,40,40,50,30,40,40,30,30,20,20
869,90,90,80,80,70,90,80,80,90,90,80,80,70,70,60,60,50,70,40,60
870,90,90,80,80,70,90,60,80,70,70,80,60,70,50,60,40,70,30,80,40
871,90,110,80,100,70,90,60,100,70,90,80,100,70,90,60,100,50,90,40,80
872,110,90,100,80,110,70,100,60,110,50,120,40,130,30,120,20,110,30,120,40
873,110,90,100,100,110,110,100,100,90,110,80,120,70,130,60,120,70,110,80,100
874,90,90,100,80,90,90,80,80,90,70,80,60,70,50,60,60,70,50,80,40
875,90,110,80,100,70,110,60,100,70,90,80,80,70,90,60,100,50,90,40,80
876,90,110,100,100,90,90,80,100,90,90,80,80,90,70,80,80,70,70,80,60
877,90,110,80,100,70,110,60,100,50,110,40,100,30,90,20,80,10,90,0,80
878,110,90,100,80,90,70,100,60,90,50,80,40,70,50,80,60,90,50,80,40
879,90,90,80,80,90,70,80,80,70,70,60,60,50,70,40,60,50,50,60,40
880,90,90,80,100,70,110,60,100,50,110,40,120,30,110,20,100,10,110,0,100
881,90,110,100,100,90,110,80,120,70,130,60,140,50,130,60,120,50,110,60,120
882,90,90,100,100,90,90,80,80,70,70,60,80,70,70,80,80,90,70,80,60
883,90,110,80,120,90,130,80,120,90,110,80,100,70,110,60,100,50,90,40,100
884,110,90,100,80,90,90,100,100,110,90,100,80,110,70,100,60,90,50,100,40
885,90,90,80,80,90,70,80,80,90,70,80,60,70,50,60,40,50,50,40,40
886,90,90,80,80,90,90,80,80,70,70,80,80,70,70,80,80,70,70,80,60
887,90,90,80,80,70,70,60,80,50,70,60,60,50,70,40,60,30,50,20,40
888,90,90,80,80,90,70,100,60,90,50,80,40,90,30,80,40,90,30,80,20
889,90,90,100,80,90,70,80,60,70,50,60,60,50,70,60,60,50,50,40,40
890,90,110,100,100,90,90,100,100,90,90,80,100,70,90,60,80,50,70,40,60
891,110,110,100,100,90,90,80,80,70,70,60,60,50,50,40,60,30,70,40,80
892,90,110,80,120,70,110,60,100,50,90,60,100,50,90,40,80,30,90,20,100
893,90,90,100,80,110,70,120,80,130,70,120,60,110,50,100,40,90,30,100,20
894,90,90,100,80,90,70,80,60,70,50,60,40,50,50,40,40,30,30,40,20
895,90,90,80,100,70,110,60,100,50,90,40,80,30,70,40,60,30,50,20,40
896,110,90,120,80,110,70,120,60,130,50,120,40,110,30,100,20,90,30,80,20
897,110,90,100,80,90,70,80,60,90,70,100,60,110,70,100,60,110,50,100,60
898,90,90,80,100,90,110,80,100,70,110,60,100,50,90,40,100,30,110,20,100
899,90,90,100,80,90,90,80,100,90,90,100,100,90,90,80,100,70,90,60,80
900,90,90,100,80,110,90,100,80,90,90,80,100,70,90,60,80,70,70,80,60
901,110,90,120,80,130,70,140,60,150,70,140,60,130,70,120,60,110,70,100,80
902,110,90,120,100,110,110,100,120,90,110,100,100,90,90,80,80,70,70,60,60
903,110,90,100,80,90,70,80,80,70,70,60,60,50,50,40,40,30,30,20,40
904,90,110,100,100,90,90,80,80,90,70,100,60,90,50,100,60,90,50,100,40
905,110,110,100,120,110,110,100,100,90,90,80,80,90,70,80,60,90,50,100,40
906,110,110,100,100,110,90,120,80,130,70,140,60,130,70,120,60,110,70,120,60
907,90,110,80,120,70,110,60,120,50,110,60,100,50,90,60,80,50,70,40,60
908,110,90,100,100,110,90,100,80,110,90,100,80,90,90,80,80,70,70,80,60
909,90,90,80,80,70,70,80,80,70,70,80,60,70,50,60,40,70,30,60,40
910,110,90,120,80,110,70,100,80,90,70,100,60,90,50,80,40,90,50,80,60
911,90,90,80,100,70,110,60,120,70,110,60,100,50,90,60,100,50,110,40,100
912,90,110,80,100,70,90,60,80,50,70,40,80,50,70,40,80,30,70,20,80
913,90,110,80,120,70,110,60,120,50,110,40,100,50,90,40,80,30,70,20,80
914,90,90,100,100,110,90,100,80,90,90,80,80,90,90,100,80,110,90,100,80
915,90,90,100,100,110,90,100,80,90,70,80,80,70,90,60,80,70,70,80,60
916,90,90,80,100,90,110,100,100,110,110,100,120,90,110,80,120,70,110,80,100
917,90,110,100,100,90,110,100,100,90,110,80,120,90,130,80,120,70,130,80,120
918,110,90,100,100,110,90,120,80,110,70,120,60,110,70,120,60,130,70,120,80
919,90,90,80,100,70,90,80,80,70,90,60,80,50,70,40,80,30,70,40,60
920,90,110,80,120,90,110,80,100,70,90,60,80,50,70,40,60,50,70,60,60
921,90,110,100,100,110,90,120,80,110,70,100,60,110,50,100,40,90,50,80,40
922,90,90,80,80,70,70,80,80,70,70,80,60,70,50,60,40,50,30,60,40
923,90,90,80,80,70,70,60,60,50,50,40,60,30,50,20,40,10,30,20,20
924,90,90,80,100,70,90,60,80,50,70,60,80,50,90,40,80,50,90,40,80
925,90,90,80,100,70,90,60,80,50,70,40,80,30,70,20,60,10,50,0,40
926,110,110,100,100,90,110,100,100,90,110,100,120,90,110,100,100,90,110,80,120
927,90,90,80,100,70,90,60,100,50,110,60,100,50,110,60,100,50,90,40,100
928,90,110,80,100,70,90,60,80,50,90,60,100,70,90,80,100,70,110,80,100
929,90,90,80,80,70,90,80,80,70,70,80,80,90,70,100,60,90,50,80,60
930,90,90,80,80,70,90,60,100,50,90,60,80,70,70,80,60,70,50,60,60
931,90,110,80,100,90,110,80,100,90,90,100,100,90,90,80,80,70,90,80,80
932,90,110,80,100,70,110,80,120,70,110,80,100,70,90,60,80,70,70,80,60
933,110,90,120,80,110,70,100,80,90,70,80,80,90,70,100,60,90,70,80,60
934,90,90,80,100,70,90,60,80,50,70,60,60,50,50,40,40,30,50,20,40
935,110,90,100,80,90,70,80,60,90,50,80,60,70,50,60,40,50,50,60,40
936,110,90,100,80,90,90,80,100,70,90,60,80,70,70,80,60,90,50,80,40
937,90,90,80,100,90,90,80,80,70,90,80,80,90,90,80,100,70,90,80,80
938,110,110,100,120,90,130,100,140,90,130,80,120,70,110,60,100,50,110,40,100
939,110,90,100,80,110,70,120,60,110,70,100,60,110,70,100,60,90,50,100,40
940,90,90,80,80,70,70,80,60,70,50,60,40,70,30,60,20,50,10,60,0
941,90,110,80,100,90,90,80,80,90,70,80,60,90,70,100,80,110,70,100,60
942,90,90,80,80,70,70,60,60,70,70,80,60,70,50,80,40,70,50,80,40
943,90,90,80,100,70,90,60,80,50,70,40,60,50,50,40,40,50,30,40,20
944,90,90,80,80,90,70,80,80,70,90,60,100,50,90,40,80,30,70,20,60
945,110,110,100,100,90,110,80,100,90,110,80,100,90,90,80,80,90,70,80,80
946,90,110,80,100,70,90,80,80,90,70,80,60,70,50,80,60,70,50,60,40
947,110,90,100,100,90,110,80,100,70,110,60,100,50,90,40,100,30,90,20,100
948,90,90,100,80,90,70,80,80,70,70,60,60,50,50,60,60,70,50,60,60
949,90,90,80,80,90,70,100,60,90,50,100,60,90,50,80,40,70,30,60,20
950,90,110,80,100,90,90,100,80,90,90,80,80,70,70,60,60,50,70,40,80
951,110,90,100,100,90,110,80,120,70,110,80,120,90,130,80,120,70,110,60,100
952,90,90,80,100,90,90,80,80,70,90,60,80,50,90,40,100,30,90,20,80
953,90,90,100,80,90,70,80,60,70,50,60,40,70,30,60,20,70,10,60,20
954,90,90,80,80,90,70,100,80,90,90,100,80,90,90,80,80,90,70,80,60
955,110,90,120,80,110,70,100,80,110,90,100,100,90,90,80,100,70,110,60,100
956,110,110,120,100,110,90,120,100,110,110,120,120,110,130,100,140,110,150,100,140
957,90,110,80,120,70,130,80,120,90,130,80,120,70,130,80,120,90,110,80,120
958,90,90,80,80,70,70,80,60,70,50,60,40,50,30,40,20,30,30,20,20
959,90,110,80,100,70,110,60,100,70,110,60,100,50,110,60,100,50,90,40,80
960,110,90,100,80,90,70,80,80,70,90,80,80,90,90,80,100,90,90,80,80
961,90,90,80,100,70,90,60,80,70,70,80,60,70,50,60,40,50,30,40,20
962,90,110,80,100,90,90,80,80,70,70,60,80,70,70,60,60,70,70,60,80
963,110,90,120,80,110,90,100,80,90,70,100,60,90,50,80,60,90,50,100,60
964,110,90,120,80,110,70,120,80,110,90,100,100,90,110,80,100,70,110,60,100
965,90,110,80,100,90,110,100,100,110,90,100,100,90,90,80,80,90,70,100,60
966,110,110,120,100,110,110,100,120,90,130,80,140,70,130,60,140,50,130,40,140
967,90,110,100,100,110,90,100,80,90,70,80,60,90,70,100,60,90,70,80,80
968,90,110,100,100,90,90,80,80,70,70,60,80,70,90,80,80,90,70,80,80
969,110,90,100,80,90,70,80,60,90,50,80,40,90,50,100,40,90,30,80,20
970,90,110,80,100,90,90,80,80,70,70,80,60,90,70,100,60,110,50,100,60
971,90,90,100,80,90,90,80,80,70,90,60,80,70,70,80,60,70,50,80,40
972,90,90,80,80,70,70,80,80,90,70,100,60,90,50,80,40,70,50,80,60
973,90,90,100,80,110,70,120,60,130,50,140,60,130,70,120,80,130,70,120,60
974,90,90,80,80,90,90,80,80,70,70,60,80,70,90,60,100,50,90,40,100
975,90,110,80,120,70,110,60,100,70,110,60,120,70,130,60,120,50,130,60,120
976,110,110,120,100,110,110,120,120,110,110,100,100,90,90,100,80,90,90,100,100
977,110,90,100,80,90,70,80,60,90,50,100,40,90,30,80,40,70,50,60,40
978,90,90,80,80,90,90,100,100,110,90,120,80,110,90,120,100,110,90,100,100
979,110,110,120,100,110,90,100,80,110,70,100,80,110,70,100,60,110,50,120,40
980,90,90,80,80,70,90,60,80,50,70,40,60,30,50,20,40,10,30,20,20
981,110,90,100,80,90,70,100,60,90,50,80,40,70,50,60,60,50,50,60,60
982,90,90,80,100,70,110,80,100,70,110,60,120,50,110,60,100,50,110,40,120
983,90,90,100,80,90,70,80,60,70,50,60,60,70,70,60,60,70,70,60,80
984,90,90,80,100,70,90,60,80,70,70,60,80,50,90,40,80,30,90,20,100
985,90,110,80,120,90,110,100,100,110,110,120,120,110,110,100,100,90,90,100,80
986,90,90,80,100,70,90,80,80,90,70,80,60,90,50,100,40,110,30,120,40
987,110,110,120,100,110,90,100,80,90,70,100,80,110,70,120,80,110,70,100,80
988,110,90,100,80,90,70,80,60,70,50,60,40,50,30,60,20,70,30,80,20
989,90,90,100,80,90,90,80,80,90,70,100,60,90,50,100,40,90,50,100,40
990,110,90,100,80,110,70,100,60,90,50,80,40,70,50,80,40,70,30,60,20
991,90,90,80,80,90,70,80,60,90,50,80,40,70,50,60,60,50,70,40,60
992,90,90,80,100,70,110,80,100,90,110,100,120,110,130,100,120,90,110,100,100
993,90,110,100,100,90,90,80,80,70,70,80,80,70,90,80,80,70,90,60,80
994,90,110,80,100,70,110,60,120,50,130,60,120,50,130,60,120,70,130,60,120
995,90,90,80,100,90,90,80,80,70,90,80,100,70,90,60,80,50,90,40,80
996,90,110,80,120,70,110,60,100,50,90,40,80,30,70,20,60,10,70,0,60
997,90,110,80,100,70,90,60,80,50,70,60,80,70,70,80,60,70,50,80,40
998,110,90,100,80,110,70,100,60,90,50,80,40,70,30,60,20,50,30,60,20
999,90,90,80,100,70,110,60,100,50,90,40,80,30,90,20,80,10,70,0,80
1000,110,90,100,80,90,90,100,80,90,90,100,100,90,110,80,100,70,90,60,80
1001,110,90,100,80,110,70,120,60,110,70,120,60,110,50,100,40,90,50,80,60
1002,90,90,100,80,90,70,80,60,90,50,80,40,90,30,80,40,70,30,80,20
1003,90,110,100,100,90,90,100,100,90,110,80,100,90,90,80,80,90,70,80,80
1004,90,90,100,100,90,90,100,100,90,90,100,100,110,90,100,100,90,90,80,100
1005,110,90,120,80,110,70,100,80,90,70,100,60,110,70,100,60,90,50,100,60
1006,90,90,80,80,70,90,80,80,70,70,60,60,50,70,40,60,30,70,20,60
1007,90,90,80,100,70,110,60,120,50,130,60,120,50,130,40,120,30,110,40,100
1008,90,90,80,100,70,90,80,80,70,90,60,80,70,70,60,80,70,90,60,80
1009,110,90,100,80,90,90,100,80,90,70,80,60,70,70,60,80,50,70,40,60
1010,110,90,100,100,110,110,120,120,110,110,100,120,110,130,100,120,90,110,80,100
1011,90,110,80,100,70,90,60,100,70,90,80,80,70,70,80,60,70,50,60,60
1012,90,90,80,80,90,70,80,60,90,70,80,80,70,90,60,80,70,90,60,100
1013,90,90,80,100,90,90,80,100,70,90,60,100,50,110,60,120,50,110,40,100
1014,90,90,100,80,90,70,100,80,90,70,100,80,90,70,80,60,70,70,60,80
1015,110,110,100,120,90,130,80,120,70,130,80,140,70,130,60,120,50,130,60,120
1016,90,90,80,80,70,90,60,80,50,70,60,60,50,50,40,40,50,30,60,40
1017,90,110,80,120,70,110,80,120,90,110,80,100,70,110,60,100,70,90,80,80
1018,90,90,80,80,70,70,60,60,70,50,80,60,90,70,80,60,70,50,60,40
1019,90,90,80,80,70,90,60,80,50,70,40,80,30,70,20,60,10,50,0,60
1020,90,90,100,80,90,90,80,80,70,70,80,80,70,70,60,60,50,70,40,80
1021,90,90,100,80,90,90,80,80,70,70,60,60,50,50,40,40,30,50,40,40
1022,110,90,120,80,130,70,140,80,130,70,120,80,110,90,120,100,130,90,120,100
1023,110,110,100,100,110,90,100,80,110,70,120,60,110,70,120,80,110,70,100,60
1024,110,110,100,120,110,110,120,100,130,110,120,120,110,130,100,140,90,130,80,120
1025,90,110,80,100,90,90,80,80,70,90,80,80,70,90,80,80,70,70,80,80
